,0
369,514.0
370,228.0
371,520.0
372,997.0
373,565.0
374,180.0
375,302.0
376,319.0
377,707.0
378,293.0
379,809.0
380,464.0
381,467.0
382,379.0
383,37.0
384,187.0
385,202.0
386,410.0
387,301.0
388,718.0
389,956.0
390,558.0
391,833.0
392,795.0
393,48.0
394,565.0
395,110.0
396,927.0
397,740.0
398,250.0
399,549.0
400,844.0
401,772.0
402,385.0
403,605.0
404,487.0
405,912.0
406,834.0
407,755.0
408,979.0
409,220.0
410,869.0
411,819.0
412,996.0
413,947.0
414,413.0
415,873.0
416,964.0
417,189.0
418,889.0
419,181.0
420,546.0
421,451.0
422,136.0
423,973.0
424,273.0
425,821.0
426,81.0
427,298.0
428,999.0
429,257.0
430,68.0
431,649.0
432,513.0
433,683.0
434,902.0
435,406.0
436,992.0
437,417.0
438,325.0
439,29.0
440,555.0
441,103.0
442,994.0
443,350.0
444,934.0
445,998.0
446,402.0
447,486.0
448,113.0
449,789.0
450,437.0
451,878.0
452,927.0
453,101.0
454,314.0
455,440.0
456,143.0
457,672.0
458,577.0
459,561.0
460,448.0
461,798.0
462,883.0
463,336.0
464,489.0
465,790.0
466,298.0
467,692.0
468,923.0
469,31.0
470,690.0
471,229.0
472,165.0
473,594.0
474,976.0
475,815.0
476,204.0
477,589.0
478,220.0
479,364.0
480,930.0
481,242.0
482,245.0
483,262.0
484,996.0
485,604.0
486,539.0
487,951.0
488,365.0
489,880.0
490,640.0
491,340.0
492,887.0
493,145.0
494,983.0
495,820.0
496,156.0
497,211.0
498,969.0
499,773.0
500,136.0
501,875.0
502,990.0
503,765.0
504,253.0
505,76.0
506,184.0
507,941.0
508,371.0
509,380.0
510,534.0
511,94.0
512,266.0
513,666.0
514,397.0
515,131.0
516,194.0
517,415.0
518,808.0
519,619.0
520,417.0
521,125.0
522,682.0
523,559.0
524,596.0
525,777.0
526,895.0
527,566.0
528,316.0
529,932.0
530,102.0
531,165.0
532,600.0
533,280.0
534,397.0
535,74.0
536,933.0
537,429.0
538,351.0
539,43.0
540,752.0
541,222.0
542,482.0
543,64.0
544,27.0
545,820.0
546,855.0
547,885.0
548,135.0
549,839.0
550,666.0
551,622.0
552,417.0
553,681.0
554,179.0
555,416.0
556,66.0
557,522.0
558,733.0
559,374.0
560,234.0
561,175.0
562,683.0
563,479.0
564,391.0
565,998.0
566,494.0
567,352.0
568,244.0
569,976.0
570,30.0
571,406.0
572,221.0
573,16.0
574,546.0
575,255.0
576,611.0
577,564.0
578,442.0
579,721.0
580,738.0
581,105.0
582,914.0
583,454.0
584,357.0
585,75.0
586,381.0
587,940.0
588,474.0
589,424.0
590,842.0
591,809.0
592,597.0
593,881.0
594,947.0
595,524.0
596,111.0
597,977.0
598,146.0
599,564.0
600,401.0
601,629.0
602,386.0
603,960.0
604,945.0
605,451.0
606,96.0
607,38.0
608,559.0
609,787.0
610,87.0
611,254.0
612,957.0
613,2.0
614,360.0
615,375.0
616,461.0
617,784.0
618,992.0
619,194.0
620,244.0
621,384.0
622,728.0
623,908.0
624,918.0
625,875.0
626,289.0
627,960.0
628,303.0
629,277.0
630,568.0
631,889.0
632,470.0
633,129.0
634,153.0
635,240.0
636,437.0
637,209.0
638,363.0
639,633.0
640,605.0
641,541.0
642,631.0
643,749.0
644,552.0
645,672.0
646,438.0
647,555.0
648,997.0
649,946.0
650,200.0
651,950.0
652,378.0
653,388.0
654,616.0
655,579.0
656,297.0
657,73.0
658,507.0
659,667.0
660,630.0
661,100.0
662,686.0
663,212.0
664,510.0
665,83.0
666,536.0
667,587.0
668,516.0
669,243.0
670,444.0
671,354.0
672,286.0
673,272.0
674,512.0
675,650.0
676,529.0
677,780.0
678,933.0
679,762.0
680,494.0
681,16.0
682,577.0
683,31.0
684,372.0
685,517.0
686,123.0
687,532.0
688,805.0
689,709.0
690,177.0
691,411.0
692,372.0
693,348.0
694,474.0
695,87.0
696,833.0
697,234.0
698,342.0
699,126.0
700,469.0
701,156.0
702,949.0
703,166.0
704,783.0
705,305.0
706,187.0
707,466.0
708,421.0
709,662.0
710,41.0
711,867.0
712,206.0
713,204.0
714,928.0
715,377.0
716,131.0
717,661.0
718,564.0
719,472.0
720,596.0
721,348.0
722,440.0
723,88.0
724,450.0
725,606.0
726,882.0
727,436.0
728,805.0
729,52.0
730,867.0
731,741.0
732,44.0
733,674.0
734,516.0
735,953.0
736,373.0
737,595.0
738,962.0
739,920.0
740,797.0
741,168.0
742,350.0
743,294.0
744,879.0
745,979.0
746,566.0
747,106.0
748,208.0
749,766.0
750,823.0
751,284.0
752,915.0
753,843.0
754,920.0
755,269.0
756,602.0
757,145.0
758,54.0
759,338.0
760,290.0
761,517.0
762,121.0
763,921.0
764,451.0
765,817.0
766,932.0
767,347.0
768,634.0
769,124.0
770,34.0
771,560.0
772,581.0
773,410.0
774,270.0
775,71.0
776,515.0
777,580.0
778,270.0
779,847.0
780,994.0
781,493.0
782,278.0
783,957.0
784,80.0
785,190.0
786,896.0
787,54.0
788,347.0
789,239.0
790,526.0
791,190.0
792,74.0
793,723.0
794,953.0
795,451.0
796,648.0
797,802.0
798,165.0
799,301.0
800,3.0
801,383.0
802,221.0
803,1.0
804,300.0
805,29.0
806,565.0
807,556.0
808,700.0
809,596.0
810,472.0
811,142.0
812,35.0
813,652.0
814,935.0
815,495.0
816,942.0
817,444.0
818,566.0
819,189.0
820,792.0
821,471.0
822,49.0
823,512.0
824,358.0
825,322.0
826,239.0
827,891.0
828,745.0
829,905.0
830,654.0
831,775.0
832,756.0
833,613.0
834,488.0
835,822.0
836,581.0
837,508.0
838,288.0
839,980.0
840,142.0
841,168.0
842,424.0
843,577.0
844,465.0
845,539.0
846,330.0
847,572.0
848,204.0
849,866.0
850,548.0
851,554.0
852,550.0
853,421.0
854,880.0
855,24.0
856,84.0
857,424.0
858,601.0
859,115.0
860,64.0
861,353.0
862,851.0
863,481.0
864,790.0
865,354.0
866,850.0
867,681.0
868,960.0
869,745.0
870,725.0
871,773.0
872,503.0
873,513.0
874,561.0
875,747.0
876,49.0
877,135.0
878,433.0
879,512.0
880,188.0
881,301.0
882,568.0
883,945.0
884,822.0
885,180.0
886,653.0
887,791.0
888,494.0
889,818.0
890,475.0
891,805.0
892,243.0
893,620.0
894,550.0
895,352.0
896,311.0
897,415.0
898,790.0
899,289.0
900,33.0
901,904.0
902,895.0
903,690.0
904,593.0
905,322.0
906,755.0
907,945.0
908,585.0
909,669.0
910,833.0
911,908.0
912,892.0
913,669.0
914,848.0
915,851.0
916,758.0
917,865.0
918,383.0
919,94.0
920,626.0
921,262.0
922,205.0
923,920.0
924,626.0
925,948.0
926,923.0
927,128.0
928,953.0
929,953.0
930,744.0
931,626.0
932,535.0
933,148.0
934,999.0
935,694.0
936,700.0
937,810.0
938,24.0
939,244.0
940,375.0
941,169.0
942,388.0
943,295.0
944,904.0
945,992.0
946,465.0
947,229.0
948,583.0
949,804.0
950,428.0
951,415.0
952,978.0
953,606.0
954,744.0
955,60.0
956,993.0
957,698.0
958,163.0
959,394.0
960,931.0
961,603.0
962,994.0
963,564.0
964,174.0
965,209.0
966,159.0
967,362.0
968,507.0
969,167.0
970,148.0
971,311.0
972,805.0
973,737.0
974,25.0
975,886.0
976,3.0
977,187.0
978,84.0
979,503.0
980,826.0
981,132.0
982,769.0
983,385.0
984,222.0
985,738.0
986,816.0
987,144.0
988,73.0
989,934.0
990,308.0
991,860.0
992,856.0
993,100.0
994,831.0
995,74.0
996,917.0
997,485.0
998,344.0
999,170.0
1000,168.0
1001,333.0
1002,114.0
1003,193.0
1004,904.0
1005,895.0
1006,541.0
1007,629.0
1008,597.0
1009,0.0
1010,57.0
1011,982.0
1012,13.0
1013,532.0
1014,650.0
1015,771.0
1016,18.0
1017,99.0
1018,678.0
1019,112.0
1020,56.0
1021,83.0
1022,491.0
1023,811.0
1024,912.0
1025,663.0
1026,503.0
1027,602.0
1028,25.0
1029,827.0
1030,316.0
1031,212.0
1032,698.0
1033,646.0
1034,992.0
1035,18.0
1036,389.0
1037,704.0
1038,501.0
1039,520.0
1040,565.0
1041,967.0
1042,48.0
1043,761.0
1044,758.0
1045,566.0
1046,366.0
1047,306.0
1048,573.0
1049,795.0
1050,339.0
1051,363.0
1052,661.0
1053,269.0
1054,408.0
1055,135.0
1056,303.0
1057,367.0
1058,524.0
1059,576.0
1060,589.0
1061,805.0
1062,207.0
1063,55.0
1064,976.0
1065,477.0
1066,294.0
1067,909.0
1068,734.0
1069,670.0
1070,878.0
1071,360.0
1072,759.0
1073,414.0
1074,274.0
1075,474.0
1076,286.0
1077,547.0
1078,26.0
1079,37.0
1080,506.0
1081,59.0
1082,541.0
1083,945.0
1084,770.0
1085,166.0
1086,304.0
1087,856.0
1088,564.0
1089,178.0
1090,465.0
1091,217.0
1092,106.0
1093,140.0
1094,314.0
1095,279.0
1096,357.0
1097,24.0
1098,360.0
1099,790.0
1100,857.0
1101,77.0
1102,668.0
1103,859.0
1104,433.0
1105,976.0
1106,157.0
1107,854.0
1108,987.0
1109,204.0
1110,294.0
1111,877.0
1112,761.0
1113,531.0
1114,651.0
1115,426.0
1116,492.0
1117,818.0
1118,358.0
1119,760.0
1120,63.0
1121,892.0
1122,499.0
1123,918.0
1124,407.0
1125,239.0
1126,289.0
1127,478.0
1128,569.0
1129,397.0
1130,702.0
1131,965.0
1132,556.0
1133,510.0
1134,799.0
1135,918.0
1136,664.0
1137,204.0
1138,613.0
1139,908.0
1140,918.0
1141,126.0
1142,442.0
1143,317.0
1144,166.0
1145,3.0
1146,927.0
1147,692.0
1148,702.0
1149,317.0
1150,431.0
1151,392.0
1152,701.0
1153,883.0
1154,51.0
1155,93.0
1156,384.0
1157,836.0
1158,630.0
1159,51.0
1160,728.0
1161,191.0
1162,33.0
1163,146.0
1164,11.0
1165,571.0
1166,792.0
1167,218.0
1168,332.0
1169,498.0
1170,352.0
1171,88.0
1172,996.0
1173,425.0
1174,321.0
1175,52.0
1176,448.0
1177,234.0
1178,623.0
1179,345.0
1180,955.0
1181,934.0
1182,217.0
1183,310.0
1184,699.0
1185,704.0
1186,570.0
1187,826.0
1188,240.0
1189,845.0
1190,330.0
1191,127.0
1192,409.0
1193,895.0
1194,561.0
1195,223.0
1196,632.0
1197,663.0
1198,256.0
1199,403.0
1200,842.0
1201,129.0
1202,468.0
1203,754.0
1204,632.0
1205,945.0
1206,122.0
1207,30.0
1208,525.0
1209,352.0
1210,229.0
1211,112.0
1212,90.0
1213,83.0
1214,285.0
1215,46.0
1216,488.0
1217,421.0
1218,321.0
1219,717.0
1220,761.0
1221,570.0
1222,606.0
1223,46.0
1224,840.0
1225,720.0
1226,990.0
1227,250.0
1228,825.0
1229,699.0
1230,116.0
1231,535.0
1232,513.0
1233,980.0
1234,640.0
1235,234.0
1236,109.0
1237,304.0
1238,138.0
1239,697.0
1240,675.0
1241,754.0
1242,520.0
1243,916.0
1244,671.0
1245,791.0
1246,34.0
1247,869.0
1248,926.0
1249,110.0
1250,324.0
1251,989.0
1252,637.0
1253,525.0
1254,641.0
1255,33.0
1256,786.0
1257,427.0
1258,268.0
1259,121.0
1260,734.0
1261,928.0
1262,856.0
1263,783.0
1264,769.0
1265,913.0
1266,890.0
1267,774.0
1268,472.0
1269,645.0
1270,97.0
1271,948.0
1272,293.0
1273,987.0
1274,74.0
1275,245.0
1276,978.0
1277,580.0
1278,370.0
1279,330.0
1280,552.0
1281,186.0
1282,512.0
1283,218.0
1284,585.0
1285,63.0
1286,69.0
1287,6.0
1288,846.0
1289,376.0
1290,688.0
1291,396.0
1292,193.0
1293,270.0
1294,231.0
1295,1.0
1296,183.0
1297,441.0
1298,140.0
1299,840.0
1300,280.0
1301,193.0
1302,97.0
1303,264.0
1304,989.0
1305,462.0
1306,6.0
1307,887.0
1308,805.0
1309,251.0
1310,294.0
1311,262.0
1312,184.0
1313,943.0
1314,396.0
1315,78.0
1316,281.0
1317,414.0
1318,992.0
1319,390.0
1320,993.0
1321,968.0
1322,224.0
1323,168.0
1324,235.0
1325,155.0
1326,518.0
1327,473.0
1328,273.0
1329,146.0
1330,159.0
1331,453.0
1332,287.0
1333,873.0
1334,408.0
1335,59.0
1336,64.0
1337,807.0
1338,491.0
1339,682.0
1340,853.0
1341,19.0
1342,244.0
1343,880.0
1344,847.0
1345,486.0
1346,580.0
1347,224.0
1348,302.0
1349,620.0
1350,246.0
1351,993.0
1352,693.0
1353,134.0
1354,755.0
1355,95.0
1356,134.0
1357,476.0
1358,483.0
1359,78.0
1360,218.0
1361,960.0
1362,731.0
1363,159.0
1364,596.0
1365,734.0
1366,276.0
1367,169.0
1368,322.0
1369,316.0
1370,356.0
1371,93.0
1372,384.0
1373,825.0
1374,963.0
1375,855.0
1376,247.0
1377,61.0
1378,842.0
1379,394.0
1380,739.0
1381,989.0
1382,85.0
1383,201.0
1384,77.0
1385,543.0
1386,980.0
1387,643.0
1388,319.0
1389,768.0
1390,312.0
1391,445.0
1392,43.0
1393,700.0
1394,425.0
1395,161.0
1396,655.0
1397,955.0
1398,572.0
1399,104.0
1400,661.0
1401,406.0
1402,381.0
1403,994.0
1404,384.0
1405,499.0
1406,723.0
1407,629.0
1408,679.0
1409,365.0
1410,446.0
1411,799.0
1412,193.0
1413,983.0
1414,161.0
1415,85.0
1416,366.0
1417,47.0
1418,966.0
1419,173.0
1420,707.0
1421,641.0
1422,872.0
1423,780.0
1424,436.0
1425,158.0
1426,369.0
1427,549.0
1428,599.0
1429,51.0
1430,298.0
1431,529.0
1432,924.0
1433,291.0
1434,551.0
1435,946.0
1436,399.0
1437,100.0
1438,766.0
1439,633.0
1440,23.0
1441,322.0
1442,466.0
1443,795.0
1444,534.0
1445,772.0
1446,458.0
1447,266.0
1448,709.0
1449,81.0
1450,505.0
1451,427.0
1452,728.0
1453,407.0
1454,426.0
1455,10.0
1456,468.0
1457,298.0
1458,549.0
1459,930.0
1460,637.0
1461,317.0
1462,914.0
1463,596.0
1464,185.0
1465,529.0
1466,760.0
1467,432.0
1468,834.0
1469,577.0
1470,213.0
1471,108.0
1472,93.0
1473,957.0
1474,950.0
1475,754.0
1476,194.0
1477,794.0
1478,522.0
1479,450.0
1480,302.0
1481,595.0
1482,511.0
1483,830.0
1484,825.0
1485,790.0
1486,897.0
1487,905.0
1488,235.0
1489,78.0
1490,377.0
1491,672.0
1492,609.0
1493,421.0
1494,860.0
1495,552.0
1496,95.0
1497,152.0
1498,804.0
1499,607.0
1500,360.0
1501,706.0
1502,61.0
1503,863.0
1504,904.0
1505,857.0
1506,548.0
1507,422.0
1508,403.0
1509,752.0
1510,626.0
1511,663.0
1512,900.0
1513,272.0
1514,51.0
1515,325.0
1516,23.0
1517,170.0
1518,912.0
1519,331.0
1520,629.0
1521,558.0
1522,398.0
1523,240.0
1524,228.0
1525,904.0
1526,885.0
1527,592.0
1528,680.0
1529,784.0
1530,544.0
1531,683.0
1532,648.0
1533,524.0
1534,15.0
1535,827.0
1536,716.0
1537,676.0
1538,238.0
1539,988.0
1540,926.0
1541,776.0
1542,318.0
1543,532.0
1544,822.0
1545,470.0
1546,91.0
1547,80.0
1548,232.0
1549,518.0
1550,834.0
1551,326.0
1552,341.0
1553,48.0
1554,855.0
1555,266.0
1556,371.0
1557,756.0
1558,302.0
1559,443.0
1560,894.0
1561,475.0
1562,429.0
1563,264.0
1564,338.0
1565,158.0
1566,601.0
1567,141.0
1568,937.0
1569,443.0
1570,175.0
1571,687.0
1572,700.0
1573,392.0
1574,783.0
1575,8.0
1576,304.0
1577,280.0
1578,37.0
1579,562.0
1580,265.0
1581,34.0
1582,328.0
1583,679.0
1584,857.0
1585,576.0
1586,996.0
1587,284.0
1588,270.0
1589,42.0
1590,719.0
1591,91.0
1592,59.0
1593,653.0
1594,132.0
1595,385.0
1596,681.0
1597,569.0
1598,90.0
1599,108.0
1600,684.0
1601,447.0
1602,389.0
1603,213.0
1604,216.0
1605,958.0
1606,331.0
1607,803.0
1608,847.0
1609,712.0
1610,115.0
1611,872.0
1612,190.0
1613,563.0
1614,871.0
1615,958.0
1616,382.0
1617,754.0
1618,312.0
1619,504.0
1620,637.0
1621,96.0
1622,300.0
1623,689.0
1624,745.0
1625,671.0
1626,734.0
1627,246.0
1628,290.0
1629,860.0
1630,784.0
1631,575.0
1632,275.0
1633,533.0
1634,681.0
1635,599.0
1636,575.0
1637,148.0
1638,810.0
1639,709.0
1640,147.0
1641,336.0
1642,379.0
1643,129.0
1644,955.0
1645,699.0
1646,745.0
1647,370.0
1648,509.0
1649,509.0
1650,689.0
1651,916.0
1652,497.0
1653,692.0
1654,414.0
1655,286.0
1656,756.0
1657,842.0
1658,595.0
1659,491.0
1660,739.0
1661,407.0
1662,368.0
1663,676.0
1664,574.0
1665,984.0
1666,714.0
1667,448.0
1668,898.0
1669,807.0
1670,299.0
1671,245.0
1672,593.0
1673,944.0
1674,624.0
1675,314.0
1676,33.0
1677,482.0
1678,535.0
1679,600.0
1680,487.0
1681,397.0
1682,565.0
1683,859.0
1684,622.0
1685,765.0
1686,135.0
1687,962.0
1688,432.0
1689,350.0
1690,894.0
1691,3.0
1692,565.0
1693,684.0
1694,514.0
1695,597.0
1696,709.0
1697,117.0
1698,389.0
1699,236.0
1700,297.0
1701,941.0
1702,908.0
1703,189.0
1704,879.0
1705,161.0
1706,209.0
1707,116.0
1708,307.0
1709,561.0
1710,370.0
1711,420.0
1712,986.0
1713,61.0
1714,141.0
1715,469.0
1716,754.0
1717,651.0
1718,661.0
1719,839.0
1720,460.0
1721,225.0
1722,940.0
1723,333.0
1724,335.0
1725,918.0
1726,565.0
1727,143.0
1728,259.0
1729,692.0
1730,758.0
1731,788.0
1732,2.0
1733,889.0
1734,873.0
1735,778.0
1736,669.0
1737,411.0
1738,953.0
1739,174.0
1740,561.0
1741,734.0
1742,411.0
1743,811.0
1744,317.0
1745,821.0
1746,317.0
1747,27.0
1748,911.0
1749,496.0
1750,439.0
1751,790.0
1752,284.0
1753,365.0
1754,851.0
1755,234.0
1756,492.0
1757,661.0
1758,541.0
1759,868.0
1760,326.0
1761,985.0
1762,144.0
1763,141.0
1764,823.0
1765,299.0
1766,870.0
1767,470.0
1768,838.0
1769,29.0
1770,646.0
1771,843.0
1772,980.0
1773,271.0
1774,97.0
1775,640.0
1776,30.0
1777,843.0
1778,116.0
1779,508.0
1780,846.0
1781,561.0
1782,814.0
1783,296.0
1784,213.0
1785,266.0
1786,175.0
1787,636.0
1788,636.0
1789,812.0
1790,287.0
1791,530.0
1792,250.0
1793,828.0
1794,581.0
1795,117.0
1796,375.0
1797,700.0
1798,316.0
1799,123.0
1800,855.0
1801,452.0
1802,794.0
1803,502.0
1804,186.0
1805,750.0
1806,336.0
1807,778.0
1808,645.0
1809,853.0
1810,840.0
1811,18.0
1812,959.0
1813,517.0
1814,145.0
1815,929.0
1816,235.0
1817,342.0
1818,695.0
1819,21.0
1820,103.0
1821,132.0
1822,970.0
1823,184.0
1824,143.0
1825,296.0
1826,593.0
1827,36.0
1828,907.0
1829,873.0
1830,293.0
1831,236.0
1832,17.0
1833,209.0
1834,164.0
1835,214.0
1836,613.0
1837,345.0
1838,54.0
1839,839.0
1840,895.0
1841,601.0
1842,263.0
1843,62.0
1844,893.0
1845,168.0
1846,82.0
1847,137.0
1848,542.0
1849,101.0
1850,228.0
1851,624.0
1852,419.0
1853,426.0
1854,617.0
1855,689.0
1856,812.0
1857,202.0
1858,628.0
1859,474.0
1860,260.0
1861,725.0
1862,667.0
1863,928.0
1864,566.0
1865,998.0
1866,886.0
1867,775.0
1868,834.0
1869,20.0
1870,399.0
1871,209.0
1872,31.0
1873,683.0
1874,369.0
1875,570.0
1876,130.0
1877,554.0
1878,807.0
1879,494.0
1880,792.0
1881,6.0
1882,364.0
1883,447.0
1884,865.0
1885,700.0
1886,747.0
1887,462.0
1888,263.0
1889,37.0
1890,265.0
1891,782.0
1892,225.0
1893,907.0
1894,356.0
1895,862.0
1896,254.0
1897,336.0
1898,560.0
1899,535.0
1900,211.0
1901,523.0
1902,890.0
1903,386.0
1904,116.0
1905,525.0
1906,540.0
1907,546.0
1908,847.0
1909,746.0
1910,626.0
1911,244.0
1912,106.0
1913,157.0
1914,451.0
1915,233.0
1916,122.0
1917,10.0
1918,713.0
1919,177.0
1920,268.0
1921,67.0
1922,364.0
1923,774.0
1924,305.0
1925,226.0
1926,777.0
1927,608.0
1928,476.0
1929,433.0
1930,42.0
1931,335.0
1932,515.0
1933,741.0
1934,600.0
1935,742.0
1936,331.0
1937,486.0
1938,889.0
1939,184.0
1940,348.0
1941,986.0
1942,690.0
1943,511.0
1944,639.0
1945,420.0
1946,950.0
1947,165.0
1948,839.0
1949,948.0
1950,136.0
1951,447.0
1952,353.0
1953,615.0
1954,145.0
1955,628.0
1956,452.0
1957,843.0
1958,761.0
1959,876.0
1960,235.0
1961,753.0
1962,931.0
1963,106.0
1964,87.0
1965,947.0
1966,868.0
1967,741.0
1968,161.0
1969,776.0
1970,573.0
1971,281.0
1972,527.0
1973,311.0
1974,693.0
1975,706.0
1976,38.0
1977,889.0
1978,386.0
1979,57.0
1980,74.0
1981,901.0
1982,962.0
1983,518.0
1984,824.0
1985,102.0
1986,899.0
1987,437.0
1988,455.0
1989,263.0
1990,929.0
1991,403.0
1992,209.0
1993,632.0
1994,244.0
1995,205.0
1996,233.0
1997,999.0
1998,381.0
1999,226.0
2000,189.0
2001,216.0
2002,521.0
2003,435.0
2004,761.0
2005,366.0
2006,461.0
2007,132.0
2008,286.0
2009,985.0
2010,934.0
2011,139.0
2012,606.0
2013,353.0
2014,494.0
2015,392.0
2016,533.0
2017,969.0
2018,617.0
2019,641.0
2020,865.0
2021,940.0
2022,223.0
2023,787.0
2024,761.0
2025,387.0
2026,787.0
2027,404.0
2028,642.0
2029,787.0
2030,525.0
2031,405.0
2032,983.0
2033,166.0
2034,778.0
2035,543.0
2036,462.0
2037,410.0
2038,820.0
2039,872.0
2040,957.0
2041,184.0
2042,22.0
2043,891.0
2044,303.0
2045,97.0
2046,472.0
2047,742.0
2048,903.0
2049,973.0
2050,600.0
2051,393.0
2052,14.0
2053,714.0
2054,932.0
2055,959.0
2056,318.0
2057,645.0
2058,544.0
2059,853.0
2060,920.0
2061,725.0
2062,375.0
2063,223.0
2064,707.0
2065,435.0
2066,307.0
2067,42.0
2068,989.0
2069,594.0
2070,185.0
2071,243.0
2072,916.0
2073,307.0
2074,570.0
2075,245.0
2076,788.0
2077,991.0
2078,355.0
2079,703.0
2080,58.0
2081,115.0
2082,405.0
2083,359.0
2084,722.0
2085,905.0
2086,700.0
2087,353.0
2088,689.0
2089,246.0
2090,53.0
2091,690.0
2092,391.0
2093,882.0
2094,903.0
2095,510.0
2096,279.0
2097,780.0
2098,990.0
2099,86.0
2100,411.0
2101,844.0
2102,686.0
2103,687.0
2104,50.0
2105,818.0
2106,814.0
2107,740.0
2108,856.0
2109,192.0
2110,883.0
2111,837.0
2112,420.0
2113,840.0
2114,425.0
2115,550.0
2116,328.0
2117,78.0
2118,927.0
2119,804.0
2120,325.0
2121,171.0
2122,81.0
2123,167.0
2124,689.0
2125,327.0
2126,983.0
2127,304.0
2128,502.0
2129,635.0
2130,192.0
2131,347.0
2132,317.0
2133,196.0
2134,605.0
2135,728.0
2136,43.0
2137,105.0
2138,466.0
2139,456.0
2140,778.0
2141,544.0
